School_Id,Org_Name,Decile,Total
266,Waipa Christian School,7,60
6783,Remarkables Primary School,10,494
4211,TKKM o Te Rito,5,87
2959,Plateau School,8,143
3036,Tawhai School,5,332
764,Milldale Primary School (Proposed) (Proposed opening date: 2023-01-01),,0
4160,TKKM o Te Atihaunui-A-Paparangi,2,113
4208,TKKM o Mangere,1,262
4209,TKKM o Manawatu,5,103
2848,Gracefield School,5,215
6759,Snells Beach Primary School,6,322
6760,Somerville Intermediate School,10,923
1139,Lake Taupo Christian School,8,118
6117,Hutt Valley Activity Centre,1,0
6119,Akina School/ Activity Centre,1,0
6113,Papakura Activity Centre,1,0
6116,London House Learning Centre,1,0
3024,St Teresa's School (Karori),10,112
6741,Te Matauranga,1,318
6742,Tahatai Coast School,7,717
6124,Napier Community High School,1,0
6126,Taranaki Activity Centre,1,0
6128,Te Ara,1,0
6110,Awhina School/ Activity Centre,1,0
3401,Kumara School,6,34
6788,Hobsonville Point Primary School,10,747
4212,TKKM o Waitaha,1,158
4125,Southcity Christian School,5,161
4126,Palmerston North Adventist Christian School,3,101
6763,Whangaparaoa College,9,1637
4207,TKKM o Nga Maungarongo,4,94
6118,Manawatu Community High School - Manawatu Kura a Iwi,1,0
3025,St Theresa's School (Plimmerton),10,161
4129,Rotorua S D A School,4,37
4140,South Auckland S D A School,2,366
4141,Southwell School,10,651
4143,Tamariki School,4,47
4144,Tauranga Adventist School,6,106
3943,Dipton School,9,42
4109,Hohepa School,8,34
4111,Huntley School (Marton),8,161
4205,TKKM o Piripono Te Kura Whakahou ki Ōtara,1,77
6127,Porirua Activity Centre,1,0
6109,Auckland Secondary Schools' Centre,1,0
4147,Waihi School,10,98
4154,Whangarei Adventist Christian School,3,32
4156,Blind and Low Vision Education Network NZ,3,55
4204,Hare Krishna School,5,96
3947,Edendale School (Southland),8,124
3997,Otama School,9,11
4006,Rimu School,9,104
4011,Ruru Special School,4,93
4013,Sacred Heart School (Waikiwi),9,82
6111,Invercargill Activity Centre,1,0
4132,St Joseph's School (Rangiora),9,139
4123,New Plymouth Adventist Christian School,8,52
4130,St George's School,99,141
4146,Timatanga Community School,6,22
4157,Westbridge Residential School,3,6
4020,St Patrick's School (Invercargill),3,280
4022,St Theresa's School (Invercargill),7,254
4029,Tisbury School,4,106
4047,Waverley Park School,4,243
4054,Wyndham School,6,109
3946,East Gore School,3,98
4112,Southland Adventist Christian School,5,90
4003,Pukerau School,7,60
4007,Riversdale School,9,131
4008,Riverton School,6,129
4026,Te Anau School,9,281
4027,Te Tipua School,5,26
3957,Gorge Road School,9,30
3975,Limehills School,10,183
4104,Hadlow Preparatory School,9,182
3954,Glenham School,8,6
3956,Gore Main School,7,185
4005,Queenstown Primary School,10,617
4014,Salford School,8,256
4021,St Teresa's School (Bluff),3,18
4023,St Thomas School (Winton),9,101
4028,Thornbury School,7,54
4030,Tokanui School,10,65
3977,Lochiel School,10,89
3991,Myross Bush School,10,152
3857,Waitati School,9,86
3961,Halfmoon Bay School,5,38
3963,Heddon Bush School,9,59
3979,Longford Intermediate,4,177
3858,Waiwera South School,8,30
3859,Wakari School,7,286
3539,St Patrick's School (Waimate),5,19
4037,Waikaka School,10,59
4046,Wallacetown School,8,64
4053,Woodlands Full Primary School,10,99
3540,St Patrick's School (Kaiapoi),7,109
3823,St Gerard's School (Alexandra),9,119
3824,St John's School (Ranfurly),8,55
3825,St Joseph's School (Oamaru),5,110
3826,St Joseph's School (Balclutha),5,64
3827,St Joseph's Cathedral School,8,139
3986,Mataura School,2,118
3990,Mossburn School,7,45
3938,Hauroko Valley Primary School,7,87
4105,Hamilton Seventh-Day Adventist School,6,91
4107,Parkside Christian S D A School,3,31
3953,Garston School,8,25
3955,Glenorchy School,7,33
3964,Hedgehope School,9,26
3973,Knapdale School,7,51
3861,Warepa School,7,52
3529,St Joseph's School (Fairlie),7,17
3536,St Mary's School (Hokitika),6,121
3538,St Patrick's School (Greymouth),6,172
3822,St Francis Xavier School (Mornington),9,115
3829,St Leonard's School (Dunedin),10,23
3840,Taieri Beach School,7,6
3841,Tainui School,7,264
3842,Tapanui School,9,72
3980,Lumsden School,8,74
3930,Arrowtown School,10,475
3862,Warrington School,8,50
3864,Weston School,8,257
3528,St Joseph's School (Pleasant Point),8,51
3530,St Joseph's School (Kaikoura),5,110
3831,St Mary's School (Milton),4,58
3836,Stirling School,6,41
3838,Tahakopa School,8,3
3843,Tarras School,6,15
3807,Purakaunui School,10,22
3808,Ravensbourne School,6,21
3790,Opoho School,10,154
3573,Waimate Centennial School,4,139
3574,Waimate Main School,3,97
3845,Tokoiti School,4,25
3847,Totara School,6,62
3788,Omakau School,9,59
3811,Romahapa School,9,65
3820,St Brigids School (Tainui),10,70
3795,Outram School,9,161
3576,Waipara School,6,44
3591,Wharenui School,3,298
3592,Whataroa School,7,28
3797,Palmerston School,6,102
3561,Tinwald School,6,230
3563,Tuahiwi School,6,164
3570,Pegasus Bay School,10,431
3572,Waimataitai School,6,473
3577,Wairakei School (Christchurch),6,187
3706,Arthur Street School,6,182
3707,Fenwick School,6,290
3709,Balaclava School,8,231
3579,Waituna Creek School,6,30
3586,West Eyreton School,10,185
3588,Te Ara Koropiko West Spreydon School,4,257
3597,Windwhistle School,10,21
3602,Yaldhurst Model School,5,103
3704,Ardgowan School,6,112
3710,Balclutha School,5,159
3723,Clinton School,5,75
3724,Clutha Valley School,7,118
3711,Balmacewen Intermediate,8,496
3727,Concord School,4,76
3729,Cromwell Primary School,9,343
3731,Dunedin North Intermediate,7,322
3736,Fairfield School (Dunedin),9,450
3738,Five Forks School,9,44
3725,Clyde School,9,165
3740,George Street Normal School,9,402
3741,Goldfields School (Cromwell),8,276
3535,St Mary's School (Christchurch),4,110
3537,St Patrick's School (Bryndwr),10,172
3745,Halfway Bush School,3,44
3747,Hawea Flat School,10,259
3754,Kaitangata School,4,86
3828,St Joseph's School (Port Chalmers),7,5
3830,St Mary's School (Dunedin),6,47
3837,Strath Taieri School,5,47
3742,Grants Braes School,10,234
3743,Green Island School,6,181
3776,Mornington School,7,238
3542,St Peter's School (Beckenham),8,148
3543,St Teresa's School (Riccarton),4,147
3756,Karitane School,6,19
3761,Lee Stream School,9,15
3772,Milton School,4,115
3839,Tahuna Normal Intermediate,8,516
3844,The Terrace School (Alexandra),8,317
3855,Waitahuna School,8,14
3557,Te Kura o Huriawa Thorrington,10,404
3523,St James School (Aranui),1,101
3273,Albury School,7,35
3274,Allenton School,7,396
3275,Allenvale Special School and Res Centre,6,140
3803,Port Chalmers School,6,102
3805,Portobello School,8,40
3812,Rosebank School (Balclutha),6,239
3819,St Bernadette's School (Forbury),6,150
3789,Omarama School,7,49
3569,Waikari School,5,37
3779,Musselburgh School,5,147
3547,Swannanoa School,10,302
3554,Waitaha School,6,121
3476,Pitt Island School,4,8
3489,Ross School,5,21
3490,Rotherham School,8,24
3492,Te Kōmanawa Rowley School,1,132
3506,Somerfield Te Kura Wairepo,8,458
3507,South Hornby School,4,277
3571,Waimairi School,9,334
3580,Wakanui School,8,115
3585,Weedons School,10,141
3527,St Joseph's School (Ashburton),8,233
3270,Sacred Heart School (Christchurch),4,168
2241,St Patrick's School (Inglewood),6,66
3461,Our Lady of the Assumption School (Chch),10,271
3463,Our Lady of Victories,6,241
3508,South New Brighton School,6,450
3509,Southbridge School,8,129
3406,Lake Tekapo School,10,27
3587,West Melton School,10,421
3589,Westburn School,9,459
3594,Longbeach School,9,137
3703,Andersons Bay School,10,271
3719,Brockville School,2,140
3737,Pembroke School (Oamaru),3,230
3470,Parkview Pārua,6,399
3472,Paroa School (Greymouth),9,163
3477,Pleasant Point Primary School,8,254
3407,Lauriston School,9,96
3425,Mairehau Primary School,6,377
3426,Makikihi School,6,26
3441,Mt Somers Springburn School,9,90
3442,Aoraki Mount Cook School,9,6
3373,Highfield School,6,266
3479,Queenspark School,8,527
3488,Rolleston School,10,735
3493,Te Ara Maurea Roydvale School,10,274
3375,Hinds School,5,124
3389,Kaiapoi North School,7,505
3391,Kaikoura Primary School,3,112
3495,Runanga School,2,58
3502,Sheffield Contributing School,9,88
3504,Shirley Primary School,3,282
3518,St Albans School,8,498
3520,St Anne's School (Woolston),3,158
3411,Leithfield School,8,101
3392,Kaikoura Suburban School,5,52
3289,Banks Avenue School,4,322
3290,Barrytown School,4,23
3291,Beckenham Te Kura o Pūroto,8,473
3292,Belfast School,7,423
3305,Burnside Primary School,4,304
3413,Linwood Avenue School,2,347
3418,Little River School,9,71
3429,Marshland School,9,527
3307,Cannington School,6,12
3308,Carew Peel Forest School,10,75
3309,Casebrook Intermediate,6,452
3746,Hampden School,4,44
3753,Kaikorai School,9,271
3755,Kakanui School,1,61
3436,Methven School,9,235
3443,Mt Pleasant School,10,311
3445,New Brighton Catholic School (Chch),6,193
3322,Cobden School,2,64
3323,Cobham Intermediate,8,625
3324,Cotswold School,8,497
3762,Macandrew Bay School,10,142
3764,Macraes Moonlight School,10,18
3771,Millers Flat School,6,27
3452,Okains Bay School,4,10
3454,Omihi School,9,39
3379,Hoon Hay Te Kura Kōaka,8,409
3388,Kaiapoi Borough School,5,374
3393,Kaniere School,7,83
3402,Ladbrooks School,10,131
3325,Cust School,10,141
3339,Ferndale Te Ahu,2,125
3340,Fernside School,10,279
3778,Elmgrove School,7,293
3544,Our Lady Star of the Sea School (Christchurch),10,66
3546,Sumner School,10,357
3284,Ashgrove School,9,416
3288,Ngutuawa School,3,147
3293,Bishopdale School,3,159
3295,Blaketown School,2,79
3302,Bromley School,3,349
3304,Burnham School - Te Kura o Tiori,9,119
3342,Fox Glacier School,8,14
3357,Greendale School,10,55
3359,Greta Valley School,5,41
3553,Te One School,7,36
3555,Templeton School,8,320
3521,St Bernadette's School (Hornby),4,113
2242,St Pius X School (New Plymouth),9,163
3271,Addington Te Kura Taumatua,3,250
3276,Amberley School,7,222
3313,Chertsey School,7,32
3318,Christchurch South Karamata Intermediate School,8,505
3327,Diamond Harbour School,10,106
3372,Heaton Normal Intermediate,9,511
3206,Motueka South School,4,210
3207,Motupipi School,7,77
3462,Our Lady of the Snows School (Methven),8,28
3478,Prebbleton School,10,494
3480,Rakaia School,6,160
3485,Te Kāpehu Riccarton School,3,258
3496,Russley School,7,420
3503,Shirley Intermediate,4,141
3329,Dorie School,9,76
3336,Fairton School,6,25
3338,Fendalton Open Air School,10,407
3208,Nayland Primary School,6,361
3222,St Peter Chanel School (Motueka),4,57
3223,Stoke School,4,191
3224,Tahunanui School,4,235
3225,Central Takaka School,6,42
3021,Sts Peter and Paul School (L.Hutt),9,432
3343,Franz Josef Glacier School,9,35
3352,Glentunnel School,7,103
3354,Governors Bay School,10,94
3505,Wigram Primary School - Te Piki Kāhu,4,349
3510,Southbrook School,7,302
3512,Spreydon School,3,236
3022,St Pius X School (Titahi Bay),4,56
3023,St Teresa's School (Featherston),5,93
3361,Greymouth Main School,6,261
3363,Haast School,8,8
3368,Hanmer Springs School,9,90
3370,Harewood School,8,176
3209,Nelson Central School,7,369
3220,St Canice's School (Westport),5,137
3229,Upper Moutere School,8,106
3234,Wakefield School,8,241
3236,Westport South School,5,244
3018,St Claudine Thevenet School,3,244
3020,St Peter Chanel School (Otaki),4,23
3004,St Brendan's School (Heretaunga),8,265
3005,St Brigids School (Johnsonville),9,287
3006,St Francis De Sales School (Is.Bay),10,224
3007,St Francis Xavier School (Tawa),8,150
3011,St Joseph's School (Upper Hutt),7,531
2945,Pahiatua School,4,354
2950,Paremata School,9,351
2961,Pomare School,1,59
2968,Maungaraki School,10,352
2970,Rangikura School,2,372
3008,St Joseph's School (Levin),2,155
2955,Petone Central School,4,87
2956,Picton School,5,80
2957,Pinehaven School,10,191
2958,Pirinoa School,7,51
2971,Rapaura School,9,132
2975,Raumati South School,9,348
2977,Redwoodtown School,4,298
2984,Sacred Heart School (Petone),7,150
2986,San Antonio School (Eastbourne),10,18
2993,South Featherston School,6,37
2995,Spring Creek School,5,50
2972,Raroa Normal Intermediate,10,700
2973,Rata Street School,2,313
2974,Raumati Beach School,9,583
3000,St Benedict's School (Khandallah),10,264
3002,St Bernard's School (Brooklyn),9,42
3029,Tairangi School,1,130
2988,Seddon School,6,126
2989,Shannon School,1,117
2990,Silverstream School,10,442
3034,Tawa Intermediate,8,498
3043,Titahi Bay Intermediate,4,178
3045,Titahi Bay School,4,374
3059,Wainuiomata Primary School,4,209
3068,Waterloo School,8,473
3070,Whareama School,6,49
2991,Solway School,6,227
3038,Te Horo School (Otaki),9,186
3040,Thorndon School,10,254
3041,Tinui School,5,38
3055,Wadestown School,10,278
3056,Waikanae School,9,549
3077,Worser Bay School,10,127
3184,Broadgreen Intermediate,6,549
3186,Canvastown School,6,24
3193,Hampden Street School,6,425
3195,Hira School,10,76
3202,Maitai School,7,44
3057,Waikawa Bay School,5,146
3071,Whitney Street School,4,354
3072,Wilford School,6,244
3073,Otari School,9,202
3074,Windley School,1,256
3075,Witherlea School,9,334
3204,Maruia School,5,19
2745,St Patrick's School (Napier),4,360
2802,Arakura School,2,127
3188,Dovedale School,5,31
3189,Enner Glynn School,7,340
3192,Granity School,3,25
2811,Blenheim School,3,104
2818,Cannons Creek School,1,113
2820,Carterton School,6,230
2827,Clyde Quay School,10,221
2834,Eastern Hutt School,9,546
2836,Epuni School,3,119
2739,Te Kura Kaupapa Maori o Whatatutu,1,26
2805,Ballance School,1,8
2806,Bellevue School (Newlands),8,268
2843,Fernridge School,6,188
2845,Gladstone School (Masterton),9,155
2850,Greytown School,8,344
2852,Hampton Hill School,6,190
2859,Holy Family School (Porirua),1,209
2861,Houghton Valley School,10,172
2868,Kahutara School,8,109
2875,Karori West Normal School,10,486
2877,Kelson School,9,265
2807,Belmont School (Lower Hutt),7,316
2821,Cashmere Avenue School,10,293
2823,Crofton Downs Primary School,10,172
2824,Churton Park School,10,316
2837,Evans Bay Intermediate,7,381
2838,Fairfield School (Levin),3,436
2886,Levin East School,2,344
2893,Maidstone Intermediate,6,528
2895,Makuri School,6,17
2839,Fairhall School,10,171
2840,Featherston School,4,141
2841,Fergusson Intermediate (Trentham),7,416
2854,Hataitai School,10,241
2855,Havelock School,5,70
2871,Kapakapanui School,9,546
2900,Mangatainoka School,4,54
2902,Te Kura o Hau Karetu,3,128
2909,Masterton Intermediate,5,446
2911,Mauriceville School,1,17
2918,Mt Cook School (Wellington),6,226
2920,Muritai School,10,347
2872,Mahinawa Specialist School and Resource Centre,5,112
2873,Kapiti School,4,158
2874,Karori Normal School,10,662
2925,Newlands School,8,283
2927,Ngaio School,10,360
2936,Opaki School,9,176
2943,Oxford Crescent School,6,308
2684,Takapau School,4,123
2686,Tamatea School,2,142
2888,Levin North School,3,213
2889,Levin School,1,211
2890,Linden School,4,106
3519,St Andrew's School (Timaru),4,98
3410,Leeston School,8,285
3412,Lincoln Primary School,10,607
2691,Te Awa School,1,182
2702,The Terrace School (Waipukurau),2,114
2711,Twyford School,4,164
2891,Linkwater School,7,30
2904,Holy Cross School (Miramar),5,173
2906,Martinborough School,8,240
3419,Loburn School,9,158
3455,Opawa School,4,301
3376,Hokitika School,5,175
3380,Hornby Primary School,3,213
3385,Isleworth School,5,264
3387,Kaingaroa School (Chatham Islands),4,5
2718,Waimarama School,1,24
2725,Waipukurau School,5,306
2736,Whangara School,4,85
2921,Naenae Intermediate,3,358
2922,Naenae School,1,302
2923,Natone Park School,1,84
3394,Karoro School,8,164
3396,Kirkwood Intermediate,7,330
3285,Ashley Rakahuri School,10,154
3287,Avonhead School,7,570
3301,Broadfield School,9,134
3303,Broomfield School,8,119
2677,St Joseph's School (Hastings),3,215
2232,Spotswood Primary School,4,259
2457,St Mary's School (P North),6,188
2924,Newlands Intermediate,9,522
2939,Otaki School,4,156
2941,Our Lady of the Rosary School (Waiwhetu),5,263
2687,Taradale Intermediate,9,556
2688,Taradale School,9,438
2704,Tikokino School,6,57
2466,Terrace End School,3,145
2468,Turakina School,3,26
3310,Cashmere Primary Te Pae Kererū,10,393
3321,Clarkville School,10,191
3326,Darfield School,8,239
2705,Tiniroto School,3,8
2706,Hatea-A-Rangi,2,22
2721,Wainui Beach School,7,267
2723,Waipawa School,5,309
2239,St Joseph's School (Waitara),3,71
1954,St Joseph's Catholic School (Waihi),3,40
2475,Waituna West School,6,53
2477,Whanganui Intermediate,4,541
2584,Kaiti School,1,378
3335,Fairlie School,6,109
3346,Gilberthorpe School,2,177
3369,Hāpuku School,2,8
1955,St Joseph's Catholic School (Whakatane),6,264
2236,St Joseph's School (New Plymouth),7,279
2593,Makaraka School,5,115
2600,TKKM o Mangatuna,1,17
2602,Manutuke School,3,131
3371,Heathcote Valley School,9,197
3210,Nelson Intermediate,5,431
3212,Ngatimoti School,5,75
3219,Sacred Heart School (Reefton),6,24
3221,St Joseph's School (Nelson),8,368
3228,Tasman School,9,116
2237,St Joseph's School (Opunake),6,75
2238,St Joseph's School (Stratford),6,184
2453,St Joseph's School (Taihape),6,110
2609,Mata School,5,5
2611,Matawai School,5,48
2616,Motu School,6,7
3226,Takaka Primary School,6,134
3235,Westport North School,4,215
3017,Our Lady of Kapiti School,7,232
3019,St Patrick's School (Kilbirnie),3,85
3012,St Mary's School (Blenheim),6,152
2454,St Mary's School (Wanganui),3,231
2455,St Mary's School (Foxton),3,26
2953,Pauatahanui School,10,196
2960,Plimmerton School,10,416
2962,Pongaroa School,4,57
2967,Pukerua Bay School,10,174
2969,Randwick School,3,141
2976,Redwood School (Tawa),10,357
2618,Napier Central School,8,247
2625,Ohuka School,4,9
2627,Omakere School,7,56
2456,St Matthew's School (Marton),2,29
2472,Waiouru School,7,103
2587,Kotemaori School,2,16
2978,Renwick School,7,492
2985,Sacred Heart Cathedral School,9,221
2987,Seatoun School,10,336
2992,South End School,6,176
2994,South Wellington Intermediate,8,455
3001,St Bernadette's School (Naenae),3,112
2634,Otane School,1,75
2641,Parkvale School,4,452
2643,Patutahi School,1,22
2650,Poukawa School,6,106
2652,Pukehou School,6,88
2659,TKKM o Tapere-Nui-A-Whatonga,1,38
2482,Whangaehu School,3,23
2484,Winchester School (P North),8,352
2543,Arthur Miller School,7,330
2588,Kowhai School,2,108
2590,Lucknow School,5,294
2604,Maraenui Bilingual School (Napier),1,170
3035,Tawa School,7,364
3037,Te Aro School,7,190
3044,Titahi Bay North School,2,142
3051,Tui Glen School,2,147
3053,Upper Hutt School,6,369
3060,Wainuioru School,9,75
2550,Cobham School,1,33
2561,Flemington School (Waipukurau),9,89
2566,Gisborne Intermediate,4,615
2606,Marewa School,1,200
2620,Nelson Park School,5,376
2621,Ngatapa School,5,19
2622,Norsewood and Districts School,4,64
2637,Te Kura o Pakipaki,1,24
2638,Pakowhai School,2,27
3062,Wairau Valley School (Blenheim),5,43
3067,Ward School,7,48
3185,Brooklyn School (Motueka),5,103
2575,Heretaunga Intermediate,1,336
2418,Central Normal School,4,434
2441,Russell Street School,8,307
2640,Papatawa School,3,27
2654,Puketapu School (Hawkes Bay),10,246
2657,Putere School,2,13
2672,Sherenden and Districts School,9,54
2438,Rongotea School,8,139
2673,Sherwood School (Hawkes Bay),8,30
3187,Clifton Terrace School,9,288
3194,Henley School (Nelson),8,522
3196,Hope School,9,64
2443,Sanson School,5,21
2450,St Johns Hill School,8,373
2452,St Joseph's School (Patea),1,16
2553,Dannevirke South School,4,258
2554,Ebbett Park School,1,148
2555,Elgin School,1,71
2556,Elsthorpe School,6,47
2557,Eskdale School,8,308
2570,Hastings Intermediate,3,459
3201,Mahana School,9,50
3203,Mapua School,10,263
2742,Woodville School,2,92
2375,Kakatahi School,2,7
2382,Kiwitea School,9,66
2384,Te Kura o Kokohuia,1,155
2571,Haumoana School,7,159
2572,Havelock North Intermediate,8,522
2573,Havelock North Primary School,9,526
2420,Papanui Junction School,6,5
2436,Whare Kura Morehu ō Ratana,2,25
2437,Riverdale School (P North),8,341
2801,Alfredton School,10,41
2803,Avalon School,2,188
2808,Berhampore School,7,257
2391,Mangamahu Primary School,3,3
2393,Manunui School,2,87
2400,Milson School,4,322
2402,Monrad - Te Kura Waenga o Tirohanga,3,366
2407,Ngamatapouri School,5,12
2439,Roslyn School,3,349
2440,Ross Intermediate,5,471
2810,Birchville School,6,139
2819,Cardinal McKeefry School (Wilton),10,53
2826,Clifton Terrace Model School,8,71
2828,Corinna School,1,196
2833,Dyer Street School,4,146
2835,Eketahuna School,4,100
2409,North Street School,3,348
2416,Our Lady of Lourdes School (P North),5,130
2372,Kaitoke School (Wanganui),5,107
2386,Linton Camp School,10,135
2387,Linton Country School,6,9
2842,Fernlea School,4,216
2844,Fraser Crescent School,5,218
2851,Grovetown School,7,74
2862,Hutt Central School,8,279
2867,West Park School,9,340
2876,Kelburn Normal School,10,265
2357,Fordell School,7,134
2359,Foxton School,1,72
2366,Hunterville Consolidated School,5,128
